Timestamp,Location,Short Name,What 3 Words,Cleansed W3W,Latitude,Longitude,Who,Survey Date,Survey Start Time,Survey End Time,Minutes at Traffic Lights,Cleansed Minutes at Traffic Lights,Number of lanes,"How long the light you are observing stays red, from start to finish",RED LIGHT CYCLE IN SECS,Red Cycle Seconds Adjusted Min,Red Cycle Seconds Adjusted Median,Red Cycle Seconds Adjusted Max,How many red phases did you observe in your study?,Time in Red Cycle (Secs),"Time in Red Cycle (Secs, Min)","Time in Red Cycle (Secs, Median)","Time in Red Cycle (Secs, Max)",Did you see any drivers go through a red light?,How Many Drivers Jumped,One Red Light Jumped per <n> Minutes,Were there any of the following at the traffic lights you observed?,"What went well about this exercise, if anything?","What can we do to improve on this exercise, if anything?"
2023/09/15 1:30:28 pm CET,"A38 northbound, pedestrian crossing adjacent to griffin brook lane",Griffin Brook,study.adding.abode,study.adding.abode,52.426544,-1.954198,Person 1,Friday 15 September,12:13,13:13,60,60,2,12 seconds,12,12,12,12,36,432,432,432,432,Yes,33,0.2,Pedestrian demand buttons,,
2023/09/15 6:50:02 pm CET,Bordersley Green East  traffic travelling west,Bordesley Green,FLOPPS.SUPPER.PRICRS,FLOPPS.SUPPER.PRICES,52.477956,-1.807757,Person 2,Friday 15 September,17:25,18:25,60,60,3,30secs,30,30,30,30,53,1590,1590,1590,1590,Yes,20,1.3,Pedestrian demand buttons,,
2023/09/15 6:58:00 pm CET,"Station Road  Stechford, traffic travelling south",Bordesley Green,THEN.PLENTY.VAGUE,THAN.PLENTY.VAGUE,52.47789246,-1.807685995,Person 3,Friday 15 September,17:25,18:25,60,60,1,15 secs,15,15,15,15,53,795,795,795,795,Yes,12,1.1,,Very supportive team and chair supplied by member of public,Could suggest that people may want to consider taking something to sit on if long session. Practice session for people to ensure they understand the process
2023/09/15 10:51:41 pm CET,Stoney Lane   traffic travelling North,Bordesley Green,ESTATE.LOVED.DOCK,ESTATE.LOVED.DOCK,52.47786,-1.807718,Person 4,Friday 15 September,17:25,18:25,60,60,1,15 secs,15,15,15,15,53,795,795,795,795,Yes,12,1.1,,Interesting to observe the number of near misses in one hour,Suggest a practice session for all participants at one session before separating to individual traffic lights
2023/09/16 7:14:42 am CET,"A38 Frankley Beeches, traffic from Northfield high street (Bristol Road South) going onto A38 and Frankley Beeches Road",Northfield,B31 2PD,,52.412589,-1.972984,Person 5,Friday 15 September,09:06,09:37,31,31,2,1min 15secs,75,75,75,75,16,1200,1200,1200,1200,Yes,1,20.0,"Pedestrian light signals (i.e. the ""green person"")",Instructions were clear and simple to follow,Would have been good to be contacted/get instructions earlier
2023/09/16 7:21:21 am CET,"A38 Frankley Beeches junction, traffic going straight on A38 from Sir Herbert Austin Way to Bristol Road South ",Northfield,B31 2PA,,52.412589,-1.972984,Person 5,Friday 15 September,09:53,10:19,26,26,2,1min 1sec,61,61,61,61,17,1037,1037,1037,1037,No,0,1000.0,"Pedestrian light signals (i.e. the ""green person"")",Instructions clear and easy to follow,Would have been good to get instructions sooner
2023/09/16 10:57:38 am CET,"Northbound traffic. Linden Road, Bournville. Pedestrian crossing by Bournville Park and St Francis Church",Linden Road,B30 2AA,,52.428393,-1.935884,Person 6,Saturday 16 September,09:08,10:08,60 minutes,60,1,13 seconds,13,13,13,13,35,455,455,455,455,No,0,1000.0,Button and green person,We felt very safe and members of the public were supportive. We successfully followed the instructions.,We were quite visible which may have improved driver behaviour. Next time we would try to stay out of sight.
2023/09/16 11:01:14 am CET,"Southbound Linden Road, Bournville. By Bournville Park and St Francis Church.",Linden Road,B30 2AA,,52.428393,-1.935884,Person 6,Saturday 16 September,09:08,10:08,60 minutes,60,1,13 seconds ,13,13,13,13,35,455,455,455,455,No,0,1000.0,Button and green person,We felt safe and members of the public were supportive.,We may have impacted on driver behaviour by being too visible. 
2023/09/16 11:33:19 am CET,"Pedestrian crossing lights, alcester road south going southbound, at the crown pub/Tesco express  ",Alcester Road South,///mile.desk.plant,mile.desk.plant,52.421424,-1.892007,Person 7,Friday 15 September,13:15,14:15,60,60,1,13 seconds ,13,13,13,13,37,481,481,481,481,Yes,16,0.5,Pedestrian demand buttons,Wasnâ€™t challenged by anyone ,
2023/09/16 12:35:37 pm CET,"A38 Bristol Road, Selly Oak. Toucan crossings outside the Bear and Staff pub. Both directions of the dual carriageway (staged crossing, so two toucans)",Selly Oak,///tried.tigers.mice,tried.tigers.mice,52.438618,-1.941238,Ruth,Saturday 16 September,11:05,12:05,60,60,2,19 seconds ,19,19,19,19,31,589,589,589,589,Yes,6,1.6,Demand buttons and light signals (but it wonâ€™t let me select both!),Iâ€™ve been meaning to sit and watch these light for a while because anecdotally we so often encounter red light jumping here and my husband was once very nearly hit. So itâ€™s given me a kick to actually do it and be part of something bigger.,Instructions to say all vehicles not just cars. Beg button can be pressed by counting person or not depending if they feel safe to do so.
